INSEE,LIBVILLE,CODE_POSTAL,N_INSEE,Population,sans_abris_2020,sans_abris_2021,sans_abris_2022,sans_abris_2023,sans_abris_2024,sans_abris_2025,sans_abris_2026,sans_abris_2027,sans_abris_2028,sans_abris_2029,sans_abris_2030,sans_abris_2031,sans_abris_2032,sans_abris_2033,sans_abris_2034,sans_abris_2035,sans_abris_2036
59001, Allennes-les-Marais ,59251,1,3545,11,8,8,9,10,9,9,9,9,9,9,8,8,8,8,8,8
59008, Annœullin ,59112,8,10847,33,26,24,27,32,28,27,27,27,26,26,26,26,25,25,25,24
59010, Anstaing ,59152,10,1631,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
59014, Armentières ,59280,14,26998,81,64,59,68,79,69,68,67,67,66,65,65,64,63,62,62,61
59017, Aubers ,59249,17,1749,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
59043, Baisieux ,59780,43,5545,17,13,12,14,16,14,14,14,14,14,13,13,13,13,13,13,13
59046, Bauvin ,59221,46,5249,16,12,11,13,15,13,13,13,13,13,13,13,12,12,12,12,12
59056, Beaucamps-Ligny ,59134,56,845,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
59067, Bois-Grenier ,59280,67,1775,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4
59088, Bondues ,59910,88,9747,29,23,21,25,28,25,25,24,24,24,24,23,23,23,23,22,22
59090, Bousbecque ,59166,90,4978,15,12,11,13,15,13,13,12,12,12,12,12,12,12,11,11,11
59092, Bouvines ,59830,92,766,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
59128, Capinghem ,59160,128,2728,8,6,6,7,8,7,7,7,7,7,7,7,6,6,6,6,6
59128, Carnin ,59112,128,1105,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2
59143, Chéreng ,59152,143,3078,9,7,7,8,9,8,8,8,8,8,7,7,7,7,7,7,7
59152, Comines ,59560,152,12731,38,30,28,32,37,32,32,32,31,31,31,30,30,30,29,29,29
59163, Croix ,59170,163,20566,62,49,45,52,60,52,52,51,51,50,50,49,49,48,47,47,46
59173, Deûlémont ,59890,173,1778,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4
59176, Don ,59272,176,1387,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3
59193, Emmerin ,59320,193,3026,9,7,7,8,9,8,8,8,7,7,7,7,7,7,7,7,7
59194, Englos ,59320,194,618,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
59201, Ennetières-en-Weppes ,59320,201,1280,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
59202, Erquinghem-Lys ,59193,202,620,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
59203, Erquinghem-le-Sec ,59320,203,5341,16,13,12,13,16,14,13,13,13,13,13,13,13,12,12,12,12
59206, Escobecques ,59320,206,302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59220, Faches-Thumesnil ,59155,220,18619,56,44,40,47,54,47,47,46,46,45,45,44,44,43,43,43,42
59232, Forest-sur-Marque ,59510,232,1662,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
59249, Fournes-en-Weppes ,59134,249,2179,7,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5
59255, Frelinghien ,59236,255,2609,8,6,6,7,8,7,7,7,6,6,6,6,6,6,6,6,6
59260, Fretin ,59273,260,3214,10,8,7,8,9,8,8,8,8,8,8,8,8,8,7,7,7
59261, Fromelles ,59249,261,1161,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
59275, Gruson ,59152,275,1207,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
59286, Hallennes-lez-Haubourdin ,59320,286,4683,14,11,10,12,14,12,12,12,12,11,11,11,11,11,11,11,11
59292, Halluin ,59250,292,20715,62,49,45,52,61,53,52,52,51,51,50,49,49,48,48,47,47
59294, Hantay ,59496,294,1244,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
59295, Haubourdin ,59320,295,15074,45,36,33,38,44,38,38,38,37,37,36,36,36,35,35,34,34
59299, Hem ,59510,299,18582,56,44,40,47,54,47,47,46,46,45,45,44,44,43,43,42,42
59301, Herlies ,59134,301,2267,7,5,5,6,7,6,6,6,6,6,5,5,5,5,5,5,5
59314, Houplin-Ancoisne ,59263,314,3326,10,8,7,8,10,8,8,8,8,8,8,8,8,8,8,8,8
59315, Houplines ,59116,315,7921,24,19,17,20,23,20,20,20,20,19,19,19,19,19,18,18,18
59322, Illies ,59480,322,1712,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
59323, La Bassée ,59480,323,6650,20,16,14,17,19,17,17,17,16,16,16,16,16,16,15,15,15
59328, La Chapelle-d’Armentières ,59930,328,8754,26,21,19,22,26,22,22,22,22,21,21,21,21,20,20,20,20
59336, La Madeleine ,59110,336,21790,66,52,47,55,64,56,55,54,54,53,53,52,51,51,50,50,49
59328, Lambersart ,59130,328,27090,82,64,59,68,79,69,68,68,67,66,65,65,64,63,63,62,61
59332, Lannoy ,59390,332,1812,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4
59333, Le Maisnil ,59134,333,628,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1
59339, Leers ,59115,339,9521,29,23,21,24,28,24,24,24,24,23,23,23,22,22,22,22,21
59344, Lesquin ,59810,344,9600,29,23,21,24,28,24,24,24,24,23,23,23,23,22,22,22,22
59346, Lezennes ,59260,346,2978,9,7,6,8,9,8,8,7,7,7,7,7,7,7,7,7,7
59350, Lille ,59000,350,238246,718,564,518,601,696,607,601,595,588,582,576,569,563,557,550,544,538
59352, Linselles ,59126,352,8161,25,19,18,21,24,21,21,20,20,20,20,19,19,19,19,19,18
59355, Lompret ,59840,355,2155,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5
59360, Loos ,59120,360,22567,68,53,49,57,66,58,57,56,56,55,55,54,53,53,52,52,51
59367, Lys-lez-Lannoy ,59390,367,14050,42,33,31,35,41,36,35,35,35,34,34,34,33,33,32,32,32
59368, Marcq-en-Barœul ,59700,368,40184,121,95,87,101,117,102,101,100,99,98,97,96,95,94,93,92,91
59386, Marquette-lez-Lille ,59520,386,12622,38,30,27,32,37,32,32,31,31,31,30,30,30,29,29,29,28
59387, Marquillies ,59274,387,1961,6,5,4,5,6,5,5,5,5,5,5,5,5,5,5,4,4
59398, Mons-en-Barœul ,59370,398,21105,64,50,46,53,62,54,53,53,52,52,51,50,50,49,49,48,48
59410, Mouvaux ,59420,410,13369,40,32,29,34,39,34,34,33,33,33,32,32,32,31,31,31,30
59426, Neuville-en-Ferrain ,59960,426,10002,30,24,22,25,29,25,25,25,25,24,24,24,24,23,23,23,23
59431, Noyelles-lès-Seclin ,59139,431,838,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
59462, Pérenchies ,59840,462,8455,25,20,18,21,25,22,21,21,21,21,20,20,20,20,20,19,19
59464, Péronne-en-Mélantois ,59273,464,1025,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2
59470, Prémesques ,59840,470,2031,6,5,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5
59473, Provin ,59185,473,4428,13,10,10,11,13,11,11,11,11,11,11,11,10,10,10,10,10
59484, Quesnoy-sur-Deûle ,59890,484,6805,21,16,15,17,20,17,17,17,17,17,16,16,16,16,16,16,15
59495, Radinghem-en-Weppes ,59320,495,1410,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3
59503, Ronchin ,59790,503,19787,60,47,43,50,58,50,50,49,49,48,48,47,47,46,46,45,45
59507, Roncq ,59223,507,14075,42,33,31,36,41,36,35,35,35,34,34,34,33,33,33,32,32
59512, Roubaix ,59100,512,98286,296,233,214,248,287,250,248,245,243,240,237,235,232,230,227,224,222
59550, Sailly-lez-Lannoy ,59390,550,1923,6,5,4,5,6,5,5,5,5,5,5,5,5,4,4,4,4
59551, Sainghin-en-Mélantois ,59262,551,2840,9,7,6,7,8,7,7,7,7,7,7,7,7,7,7,6,6
59552, Sainghin-en-Weppes ,59184,552,5638,17,13,12,14,16,14,14,14,14,14,14,13,13,13,13,13,13
59553, Saint-André-lez-Lille ,59350,553,13233,40,31,29,33,39,34,33,33,33,32,32,32,31,31,31,30,30
59554, Salomé ,59496,554,3182,10,8,7,8,9,8,8,8,8,8,8,8,8,7,7,7,7
59557, Santes ,59211,557,5652,17,13,12,14,17,14,14,14,14,14,14,14,13,13,13,13,13
59560, Sequedin ,59320,560,13261,40,31,29,33,39,34,33,33,33,32,32,32,31,31,31,30,30
59563, Seclin ,59113,563,4675,14,11,10,12,14,12,12,12,12,11,11,11,11,11,11,11,11
59564, Templemars ,59175,564,3669,11,9,8,9,11,9,9,9,9,9,9,9,9,9,8,8,8
59586, Toufflers ,59390,586,3957,12,9,9,10,12,10,10,10,10,10,10,9,9,9,9,9,9
59599, Tourcoing ,59200,599,98772,298,234,215,249,288,252,249,246,244,241,239,236,233,231,228,226,223
59600, Vendeville ,59175,600,1386,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3
59610, Verlinghem ,59237,610,1654,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
59646, Villeneuve-d’Ascq ,59491,646,2682,8,6,6,7,8,7,7,7,7,7,6,6,6,6,6,6,6
59650, Wambrechies ,59118,650,62868,189,149,137,159,184,160,159,157,155,154,152,150,149,147,145,144,142
59650, Wattignies ,59139,650,11012,33,26,24,28,32,28,28,27,27,27,27,26,26,26,25,25,25
59650, Wattrelos ,59150,650,231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59656, Wavrin ,59136,656,20726,62,49,45,52,61,53,52,52,51,51,50,50,49,48,48,47,47
59660, Wervicq-Sud ,59117,660,15525,47,37,34,39,45,40,39,39,38,38,38,37,37,36,36,35,35
59657, Willems ,59780,657,40847,123,97,89,103,119,104,103,102,101,100,99,98,97,95,94,93,92
59602, Tressin     ,59152,602,7758,23,18,17,20,23,20,20,19,19,19,19,19,18,18,18,18,18
59643, Warneton    ,59560,643,5426,16,13,12,14,16,14,14,14,13,13,13,13,13,13,13,12,12
59646, Wasquehal   ,59290,646,581,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
59658, Wicres      ,59134,658,2941,9,7,6,7,9,7,7,7,7,7,7,7,7,7,7,7,7
0,Total,0,0,1195234,3601,2829,2598,3015,3491,3046,3014,2983,2951,2919,2887,2856,2824,2792,2761,2729,2697
