Libéllé Commune,Code Postal,Code IRIS - Code de la zone,Type de construction - Libellé,Année de construction,Année de première mise en location,Année d’entrée dans le patrimoine,Etiquette DPE Energie,Etiquette DPE GES,Situation en QPV - Libellé,Code QPV 2024,Financement initial - Libellé,Convention APL,passoire_energetique,logement_qpv,age_logement
Allennes-les-Marais,59251,59005XXXX,individuel,1996,1996,1996,D,C,Non,CSZ,PLA Loyer Minoré / PLA Très Social / PLA Insertion,1,False,False,29
Allennes-les-Marais,59251,59005XXXX,individuel,1996,1996,1996,D,E,Non,CSZ,PLA Loyer Minoré / PLA Très Social / PLA Insertion,1,False,False,29
Allennes-les-Marais,59251,59005XXXX,collectif,1994,1994,1994,C,D,Non,CSZ,PLA ordinaire,1,False,False,31
Allennes-les-Marais,59251,59005XXXX,collectif,1994,1994,1994,C,D,Non,CSZ,PLA ordinaire,1,False,False,31
Allennes-les-Marais,59251,59005XXXX,collectif,1994,1994,1994,C,D,Non,CSZ,PLA ordinaire,1,False,False,31
Allennes-les-Marais,59251,59005XXXX,individuel,1994,1994,1994,C,D,Non,CSZ,PLA ordinaire,1,False,False,31
Allennes-les-Marais,59251,59005XXXX,individuel,1994,1994,1994,C,D,Non,CSZ,PLA ordinaire,1,False,False,31
Allennes-les-Marais,59251,59005XXXX,individuel,1994,1994,1994,C,D,Non,CSZ,PLA ordinaire,1,False,False,31
Allennes-les-Marais,59251,59005XXXX,individuel,1994,1994,1994,C,D,Non,CSZ,PLA ordinaire,1,False,False,31
Allennes-les-Marais,59251,59005XXXX,individuel,1963,2006,2006,C,A,Non,CSZ,PLA d’intégration/LLTS dans les DOM,1,False,False,62
Allennes-les-Marais,59251,59005XXXX,individuel,1963,2006,2006,E,E,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,62
Allennes-les-Marais,59251,59005XXXX,individuel,1963,2006,2006,C,G,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,62
Allennes-les-Marais,59251,59005XXXX,individuel,1963,2006,2006,F,F,Non,CSZ,PLUS/LLS dans les DOM,1,True,False,62
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,C,A,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1963,2006,2006,C,D,Non,CSZ,PLA d’intégration/LLTS dans les DOM,1,False,False,62
Allennes-les-Marais,59251,59005XXXX,individuel,1963,2006,2006,E,E,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,62
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,F,F,Non,CSZ,PLA d’intégration/LLTS dans les DOM,1,True,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,G,F,Non,CSZ,PLUS/LLS dans les DOM,1,True,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,C,A,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,F,F,Non,CSZ,PLUS/LLS dans les DOM,1,True,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,D,E,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,C,A,Non,CSZ,PLA d’intégration/LLTS dans les DOM,1,False,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,F,F,Non,CSZ,PLUS/LLS dans les DOM,1,True,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1959,2006,2006,E,F,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,66
Allennes-les-Marais,59251,59005XXXX,individuel,1963,2006,2006,E,F,Non,CSZ,PLUS/LLS dans les DOM,1,False,False,62
